,1,2
B cell,0.56870741925461,1.75837340281348
Endothelial cell,0.273502599381487,3.65627238008505
Fibroblast,0.330692632204321,3.02395609280506
Macrophage/Monocyte,9.45332166754672,0.105782923206031
Mast cell,2.10628372549662,0.474769846006487
NK cell,0.509793313744752,1.96157927740239
Plasma cell,0.770332447456528,1.29814082647276
T cell CD4,1.28740755400862,0.77675480222738
T cell CD8,0.678511522391053,1.47381432296983
cDC,3.02482830030734,0.330597277173846
pDC,4.84744860684178,0.206294090171184
