,1,2
B cell,0.441224922153904,2.26641776062502
Endothelial cell,0.424661999097452,2.35481395115488
Fibroblast,1.8500447442242,0.540527467306929
Macrophage/Monocyte,0.495817513849272,2.01687107064153
Mast cell,3.43221750090582,0.291356826814176
NK cell,1.90786244134152,0.524146803423021
Plasma cell,1.00459250620065,0.995428488494289
T cell CD4,2.60401779764194,0.384021952885862
T cell CD8,2.9380343091422,0.340363622333588
cDC,0.361061998272418,2.76960744909385
pDC,1.21871024793248,0.820539584118932
