,LM,PL
CAF_ASPN,1.40313107229533,0.712691793193732
CAF_CD74,0.445397058348073,2.24518770669229
CAF_CXCL12,0.438516723856345,2.28041473813344
CAF_CXCL14,1.19811710574771,0.834642953683504
CAF_MMP2,0.29769454714194,3.3591478567567
NAF_ACTG2,0.452824123816292,2.20836291046563
NAF_FABP5,0.700926720100451,1.42668266356958
NAF_JUN,3.2514322308085,0.307556771605029
NAF_JUNB,0.436592973817273,2.29046287954815
NAF_PTP4A3,2.01315522409433,0.496732685106224
NAF_PTPRC,1.51860575070116,0.65849875752037
NAF_RGS5,0.288725355097626,3.46349907392744
NAF_SOD3,2.16222461003614,0.462486642395252
