,1,2
B cell,1.50672822772173,0.663689696390745
Endothelial cell,0.245513549359618,4.07309495792936
Fibroblast,0.191341549379483,5.22625641551968
Macrophage/Monocyte,1.04072752083123,0.960866297838746
Mast cell,3.7985074981542,0.26326129420198
NK cell,1.68482183828698,0.593534566845797
Plasma cell,0.60071968425922,1.66466993874715
T cell CD4,4.29680709230791,0.232730950800698
T cell CD8,3.93736581650191,0.253976909081929
cDC,1.11417496483221,0.89752510293623
pDC,3.21970912375626,0.310587062856583
