,1,2
B cell,0.0640376130896544,15.6158225104357
Endothelial cell,0.665527427759923,1.50256767533363
Fibroblast,0.808020346860897,1.23759259761828
Macrophage/Monocyte,0.309321330170115,3.23288406735494
Mast cell,1.444368933476,0.692343885847374
NK cell,3.91406349719442,0.255488956864597
Plasma cell,0.953544446213307,1.04871881323537
T cell CD4,3.08916342127415,0.323712236495258
T cell CD8,2.6068691771641,0.383601911733774
cDC,0.0446317380593864,22.4055805012429
pDC,0.139739780401205,7.15615837615403
