,1,2
B cell,0.220634747346827,4.53237766047816
Endothelial cell,0.698162492089349,1.43233131445856
Fibroblast,0.593190749464925,1.68579837244938
Macrophage/Monocyte,3.74078578873047,0.267323513421327
Mast cell,1.14751905888563,0.871445221111282
NK cell,2.309619335444,0.432971782255953
Plasma cell,0.222100015949818,4.50247603865973
T cell CD4,1.85487006711825,0.539121320531963
T cell CD8,1.47552659095222,0.67772414684486
cDC,1.29466810743893,0.772398728488161
pDC,1.0282232470535,0.972551440424654
