,1,2
B cell,0.923035567448201,1.08338187093329
Endothelial cell,0.279857542913851,3.57324655104197
Fibroblast,0.192485977369073,5.19518363710514
Macrophage/Monocyte,2.70009629094896,0.370357162206443
Mast cell,3.40468399096934,0.293713014967739
NK cell,1.45915859663935,0.685326463006246
Plasma cell,0.583217840531777,1.71462518891432
T cell CD4,2.86266735209233,0.349324555390307
T cell CD8,2.61476131141954,0.382444086055834
cDC,0.926082984858627,1.07981683752958
pDC,2.43481722974985,0.410708445702407
