,1,2
B cell,0.152779001353285,6.54540212425923
Endothelial cell,1.58493316500442,0.630941431525417
Fibroblast,5.34279867834472,0.187167823495423
Macrophage/Monocyte,5.71107269230777,0.175098454156764
Mast cell,1.00704639067265,0.993002913532177
NK cell,0.563921385242091,1.77329682145447
Plasma cell,0.327236623813335,3.05589266979612
T cell CD4,0.570538531161103,1.75273000048726
T cell CD8,0.376719761702155,2.65449307857289
cDC,1.7822674879556,0.561083006203001
pDC,0.866107614139044,1.15459093497758
