ID	Lasso_Coef	Corr	Pvalue
CXCL14	-0.0148861279415967	-0.0927370919850249	0.0748081452758835
C1S	-0.0956177073183303	-0.547151704667603	2.80069338198011e-30
RARRES2	-0.0165559916861226	-0.322250602200117	2.18465793495738e-10
C7	-0.0660624421082036	-0.519546473760311	5.743891437158e-27
SERPING1	-0.0316301889095902	-0.586982170415412	1.23426120941522e-35
IGFBP7	-0.0664040736960758	-0.232612499190677	6.14258135254434e-06
IGFBP3	0.0886479269503038	0.441523958884367	4.3762973779975e-19
CNN3	0.199007499913785	0.401327951709155	9.4493363685446e-16
THY1	0.0914085236781403	0.0982428582564561	0.0590374686999027
