,1,2
B cell,0.559667218312504,1.78677608278573
Endothelial cell,0.773048857724462,1.29357929968824
Fibroblast,0.793741407106307,1.25985615850084
Macrophage/Monocyte,0.900447948140574,1.1105583638288
Mast cell,0.892909142767171,1.11993477511155
NK cell,2.18873668830155,0.456884560552598
Plasma cell,1.16996043389167,0.854729759256619
T cell CD4,1.05612967075238,0.946853428791192
T cell CD8,1.15948973481672,0.862448342553091
cDC,1.04716120541956,0.954962803076086
pDC,0.906860224964337,1.10270576707599
