,LM,PL
Bm,1.15542977072826,0.865478824705808
Bn,1.15059262986547,0.869117334878913
Endo,0.00569410811011808,175.620128852672
Fibro,0.0442346564450802,22.6067088650628
MAIT,1.40812597111106,0.710163735713902
Macro,0.544197952804629,1.83756663332949
Mast,0.760102912762556,1.31561132474226
Mono,0.724807134748224,1.37967736803166
NK,0.934815306927279,1.06973002323527
NKT,0.848837316762286,1.17808204263956
Plasma,0.639208158957769,1.56443560049437
Tcm,1.28430955553113,0.778628482279296
Tem,1.86503967013332,0.536181624452262
Tfh,1.90409667427276,0.525183418211649
Tn,1.18994159665294,0.840377378866994
Treg,1.22735446442317,0.814760551239755
Trm,1.78831174143728,0.559186621006185
cDC1,0.33849637405396,2.95424139415032
cDC2,0.465534663114884,2.14806775785291
pDC,0.569437196781308,1.75611991217365
