,1,2
B cell,1.83174010068368,0.545928977384269
Endothelial cell,0.234230926910262,4.26929105046457
Fibroblast,0.217257071135694,4.60284212970644
Macrophage/Monocyte,1.06041413927889,0.943027787879201
Mast cell,3.77734649132326,0.264736105701991
NK cell,1.6241380891659,0.615711192706259
Plasma cell,0.887047042603345,1.12733592692576
T cell CD4,2.68880255527097,0.371912767651779
T cell CD8,2.7345107385961,0.365696131993763
cDC,0.727762299085941,1.37407502594733
pDC,1.49840680899003,0.66737550443596
